file_name;label;binary_label
zorro/zorro_pnm_2013-o_me/f4707im000030.jpg;zorro;1
vacia/noanimal_zoo_1_4/43_20201217_2079_.jpg;vacia;0
vacia/noanimal_zoo_5_6_7_9/25_20210417_5911_.jpg;vacia;0
vaca/cow_zoo_1_4/21_20201217_1467_.jpg;vaca;1
leporido/rabbit_islandconservationcameratraps/chile_piedra012013_14032013164841.jpg;leporido;1
vacia/noanimal_zoo_5_6_7_9/24_20210318_5826_.jpg;vacia;0
vaca/cow_zoo_5_6_7_9/21_20210418_3943_.jpg;vaca;1
vacia/vacias_pnc_2014_isaac/c17618im000190.jpg;vacia;0
cervidae/deer_caltechcameratrap/595dece5-23d2-11e8-a6a3-ec086b02610b.jpg;cervidae;1
vacia/empty_snapshotmountainzebra/mtz_s1_c06_r3_imag0372.jpg;vacia;0
ave/petrel_chick_islandconservationcameratraps/ecuador2_ic1618_20181121_032324_img_0479.jpg;ave;1
ave/zorzal_pnc_2013-o_me/b5006imag0896.jpg;ave;1
vacia/vacias_pnc_2014_isaac/c1238im000219.jpg;vacia;0
vacia/noanimal_zoo_5_6_7_9/24_20210418_2760_.jpg;vacia;0
jabali/wildboar_zoo_1_4/15_20210117_8012_.jpg;jabali;1
vacia/empty_snapshotkaroo/kar_s1_f02_r1_imag2901.jpg;vacia;0
ave/shearwater_islandconservationcameratraps/chile_piedra012013_2601201352538.jpg;ave;1
leporido/liebre_alumno_2_2_th_jc/21_20201025_1404_.jpg;leporido;1
vacia/empty_islandconservationcameratraps/ecuador1_ic1611_20150101_000003_img_1117.jpg;vacia;0
jabali/wildboar_zoo_1_4/37_20201116_550_.jpg;jabali;1
zorro/zorro_vacias_humanos_pnc_2012_me/a28968im000108.jpg;zorro;1
leporido/conejo_leo_donana/0000658.jpg;leporido;1
vacia/empty_islandconservationcameratraps/dominicanrepublic_cam1425abril2015_20150423_130254_img_2301.jpg;vacia;0
vacia/vacia_alumno_2_2_th_jc/37_20201024_9783_.jpg;vacia;0
vacia/empty_snapshotmountainzebra/mtz_s1_g04_r3_imag0217.jpg;vacia;0
jabali/2_jabali_leo_otra_fauna_pasada_por_la_red_jc/otrafauna_1452_.jpg;jabali;1
vacia/noanimal_zoo_1_4/34_20210115_2590_.jpg;vacia;0
vacia/empty_snapshotmountainzebra/mtz_s1_d06_r1_imag1697.jpg;vacia;0
vacia/noanimal_zoo_1_4/7_20210115_3193_.jpg;vacia;0
vacia/noanimal_zoo_1_4/31_20201023_261_.jpg;vacia;0
vacia/empty_islandconservationcameratraps/dominicanrepublic_cam0425abril2015_20130808_043804_sunp1154.jpg;vacia;0
cervidae/ciervo_pnc_2013-i_red_me/965im000096.jpg;cervidae;1
