file_name;label
vacia/noanimal_zoo_1_4/7_20210115_1826_.jpg;0
ave/ave_ave_wellingtoncameratraps_ss/010216093202023as383.jpg;1
cervidae/ciervo_pnc_2013-o_red_isaac/b17592im000130.jpg;1
cervidae/deer_caltechcameratrap/58ac0c1c-23d2-11e8-a6a3-ec086b02610b.jpg;1
lince/lince_a_linces2_leo_jc/lince102_126_.jpg;1
caballo/horse_zoo_1_4/15_20210117_14904_.jpg;1
gato_domestico/gato_wellingtoncameratraps_ss/2606152015480359l101.jpg;1
cervidae/cervidredorfallowdeer_zoo_1_4/26_20201020_3483_.jpg;1
vacia/noanimal_zoo_5_6_7_9/20_20210319_12014_.jpg;0
vacia/empty_snapshotmountainzebra/mtz_s1_d05_r1_imag1176.jpg;0
vacia/noanimal_zoo_5_6_7_9/25_20210319_7871_.jpg;0
vacia/noanimal_zoo_5_6_7_9/11_20210418_3158_.jpg;0
cervidae/cervidredorfallowdeer_zoo_1_4/21_20210114_1366_.jpg;1
zorro/zorro_pnc_2012_jc/a33460imag0131.jpg;1
cervidae/ciervo_pnm_2012_isaac/d14472imag0025.jpg;1
vacia/vacia_paco_carro_jc/img_1550.jpg;0
jabali/wildboar_zoo_1_4/37_20201116_4739_.jpg;1
vacia/snampshotenonkishu/eno_s1_d03_r1_imag2137.jpg;0
vacia/empty_snapshotmountainzebra/mtz_s1_g04_r3_imag2073.jpg;0
vacia/vacia_paco_carro_jc/img_2204.jpg;0
caballo/horse_zoo_5_6_7_9/15_20210219_8948__2021_04_1506_16_22utc_.jpg;1
cervidae/ciervo_me_rev_3_donana/40_20201024_8754_.jpg;1
vacia/noanimal_zoo_1_4/34_20210115_4315_.jpg;0
gato_domestico/gato_wellingtoncameratraps_ss/2204151825380194s224.jpg;1
lince/lince_b_linces2_leo_jc/lince142_32_.jpg;1
cervidae/cervidredorfallowdeer_zoo_5_6_7_9/5_20210219_187__2021_04_1506_16_22utc_.jpg;1
vacia/noanimal_zoo_5_6_7_9/2_20210417_4428_.jpg;0
